"Reference","Value","Footprint","Datasheet","Field4","Manufacture","Package","Price","Sim.Device","Sim.Params","Sim.Pins","Value","Value_1","Value_1_1","수량"
"AUX_BT1","202","Server.pretty:Potentiometer_Bourns_3296Y_Vertical","http://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000013040","","부품세상","","710","","","","202","","","1"
"C2","100uF/25V","Capacitor_SMD:CP_Elec_6.3x5.3","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000002852","","부품세상","6.3ΦX5.4","66","","","","100uF/25V","","","1"
"C3, C7, C9-C11, C13","104","Server.pretty:C_0805_HandSoldering","http://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000013173","","부품세상","2012(0805)","66","","","","104","","","6"
"C4, C6, C8, C12, C14, C20","106","Server.pretty:C_0805_HandSoldering","http://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000013173","","부품세상","2012(0805)","66","","","","106","","","6"
"C5","1000uF/10V","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~","","","","","","","","1000uF/10V","","","1"
"D1","INVERTOR","Server.pretty:LED_0805","http://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000008652","","부품세상","2012(0805)","132","","","","INVERTOR","","","1"
"D2, D12, D15","1N4148W","Server.pretty:D_SOD-123","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000012566","","부품세상","DO-214AC(SMA)","55","SPICE","type=""D"" model=""M7"" lib=""""","1=1 2=2","1N4148W","","","3"
"D3-D6, D14, D18-D20","LED","Server.pretty:LED_0805","http://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000008652","","부품세상","2012(0805)","132","","","","LED","","","8"
"D7-D10, D17, D21, D23, D24","type=""D"" model=""M7"" lib=""""","Server.pretty:D_SMA","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000012566","","부품세상","DO-214AC(SMA)","55","SPICE","type=""D"" model=""M7"" lib=""""","1=1 2=2","type=""D"" model=""M7"" lib=""""","","","8"
"D11","POWER","Server.pretty:LED_0805","http://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000008652","","부품세상","2012(0805)","132","","","","POWER","","","1"
