"Source:","E:\CamTrol II\LM_Seet\PCB\L-CON V1.0\L-CON V1.0.kicad_sch"
"Date:","2024-06-21 오후 7:44:43"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","100"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Field4","Manufacture","Package","Price","Sim.Device","Sim.Params","Sim.Pins","Spice_Netlist_Enabled","Spice_Primitive","Value","Value_1","필드4","필드5"
"1","1","C1","100uF/6.3V","Device:CP1","Capacitor_SMD:CP_Elec_6.3x5.3","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000002852","","","부품세상","6.3ΦX5.4","66","","","","","","100uF","","",""
"2","3","C2, C3, C5","106","Server_Used:C","Server.pretty:C_0805_HandSoldering","http://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000013173","","","부품세상","2012(0805)","66","","","","","","106(10uF)","","",""
"3","1","C4","1000uF/10V","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~","","","","","","","","","","","C_Polarized_Small","","",""
"4","5","C6, C7, C8, C9, C10","104","Server_Used:C","Server.pretty:C_0805_HandSoldering","http://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000013173","","","부품세상","2012(0805)","66","","","","","","106(10uF)","","",""
"5","2","D1, D6","POWER","CamTrol-12Ch-Main-Board-rescue:LED-Server_Used-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue","Server.pretty:LED_0805","http://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000008652","","","부품세상","2012(0805)","132","","","","","","RED LED","","",""
"6","5","D2, D8, D10, D11, D17","LED","CamTrol-12Ch-Main-Board-rescue:LED-Server_Used-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue","Server.pretty:LED_0805","http://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000008652","","","부품세상","2012(0805)","132","","","","","","RED LED","","",""
"7","5","D3, D9, D12, D13, D18","type=""D"" model=""M7"" lib=""""","Simulation_SPICE:DIODE","Server.pretty:D_SMA","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000012566","","","부품세상","DO-214AC(SMA)","55","SPICE","type=""D"" model=""M7"" lib=""""","1=1 2=2","Y","D","4007","","",""
"8","1","D4","FRIGE","CamTrol-12Ch-Main-Board-rescue:LED-Server_Used-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue","Server.pretty:LED_0805","http://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000008652","","","부품세상","2012(0805)","132","","","","","","RED LED","","",""
"9","1","D5","SS34","Simulation_SPICE:DIODE","Server.pretty:D_SMA","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000016469","","","부품세상","DO-214AC(SMA)","165","SPICE","type=""D"" model=""SS34"" lib=""""","1=1 2=2","Y","D","SS34","","",""
"10","1","D7","1N4148W","Simulation_SPICE:DIODE","Server.pretty:D_SOD-123","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000012566","","","부품세상","DO-214AC(SMA)","55","SPICE","type=""D"" model=""M7"" lib=""""","1=1 2=2","Y","D","4007","","",""
"11","1","D16","1N4148","Simulation_SPICE:DIODE","Server.pretty:D_SOD-123","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000012566","","","부품세상","DO-214AC(SMA)","55","SPICE","type=""D"" model=""M7"" lib=""""","1=1 2=2","Y","D","4007","","",""
"12","5","F1, F2, F3, F4, F6","FUSE","CamTrol-12Ch-Main-Board-rescue:FUZETEC-Server_Used-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue","Server.pretty:FUSE-PIN-Holder-Mini","http://www.intopion.com/goods/view?no=3828767","","","인투피온","","770","","","","","","FRG500-16F","","",""
"13","1","H1","MountingHole","Server_Used:ESP32Hole","Server.pretty:ESP32Hole","~","","","","","","","","","","","ESP32Hole","","",""
"14","1","H2","MountingHole_Pad","Mechanical:MountingHole_Pad","Server.pretty:MountingHole_3.2mm_M3-support","~","","","","","","","","","","","MountingHole_Pad","","",""
"15","1","J1","YMW025-04R","Connector:Conn_01x04_Male","Server.pretty:Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical","https://www.devicemart.co.kr/goods/view?no=419","","","DEVICEMART","","30","","","","","","5267-04P","","",""
"16","5","J2, J6, J7, J8, J10","Conn_01x02_Male","Connector:Conn_01x02_Male","Server.pretty:PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","~","","","DEVICEMART","","160","","","","","","Conn_01x02_Male","","",""
"17","1","J3","Conn_01x03_Pin","Connector:Conn_01x03_Pin","Server.pretty:PhoenixContact_MSTBVA_2,5_3-G-5,08_1x03_P5.08mm_Vertical_NEW","~","","","DEVICEMART","","160","","","","","","Conn_01x03_Pin","","",""
